scope,threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
new_patient,0.5,3,424,0.6061320754716981,0.0,0.0,0.0,257,167,0,0
new_patient,0.5,4,424,0.6132075471698113,0.0,0.0,0.0,260,164,0,0
new_patient,0.5,5,424,0.6132075471698113,0.0,0.0,0.0,260,164,0,0
new_patient,0.5,6,424,0.6367924528301887,0.0,0.0,0.0,270,154,0,0
new_patient,0.5,7,424,0.6509433962264151,0.0,0.0,0.0,276,148,0,0
new_patient,0.5,8,424,0.6674528301886793,0.0,0.0,0.0,283,141,0,0
new_patient,0.55,1,424,0.6061320754716981,0.0,0.0,0.0,257,167,0,0
new_patient,0.55,2,424,0.6179245283018868,0.0,0.0,0.0,262,162,0,0
new_patient,0.55,3,424,0.6179245283018868,0.0,0.0,0.0,262,162,0,0
new_patient,0.55,4,424,0.6320754716981132,0.0,0.0,0.0,268,156,0,0
new_patient,0.55,5,424,0.6320754716981132,0.0,0.0,0.0,268,156,0,0
new_patient,0.55,6,424,0.6556603773584906,0.0,0.0,0.0,278,146,0,0
new_patient,0.55,7,424,0.6698113207547169,0.0,0.0,0.0,284,140,0,0
new_patient,0.55,8,424,0.6698113207547169,0.0,0.0,0.0,284,140,0,0
new_patient,0.6,1,424,0.6179245283018868,0.0,0.0,0.0,262,162,0,0
new_patient,0.6,2,424,0.6367924528301887,0.0,0.0,0.0,270,154,0,0
new_patient,0.6,3,424,0.6415094339622641,0.0,0.0,0.0,272,152,0,0
new_patient,0.6,4,424,0.6415094339622641,0.0,0.0,0.0,272,152,0,0
new_patient,0.6,5,424,0.6509433962264151,0.0,0.0,0.0,276,148,0,0
new_patient,0.6,6,424,0.6745283018867925,0.0,0.0,0.0,286,138,0,0
new_patient,0.6,7,424,0.6745283018867925,0.0,0.0,0.0,286,138,0,0
new_patient,0.6,8,424,0.6745283018867925,0.0,0.0,0.0,286,138,0,0
new_patient,0.7,1,424,0.6509433962264151,0.0,0.0,0.0,276,148,0,0
new_patient,0.7,2,424,0.6674528301886793,0.0,0.0,0.0,283,141,0,0
new_patient,0.7,3,424,0.6768867924528302,0.0,0.0,0.0,287,137,0,0
new_patient,0.7,4,424,0.6839622641509434,0.0,0.0,0.0,290,134,0,0
new_patient,0.7,5,424,0.7122641509433962,0.0,0.0,0.0,302,122,0,0
new_patient,0.7,6,424,0.7122641509433962,0.0,0.0,0.0,302,122,0,0
new_patient,0.7,7,424,0.7122641509433962,0.0,0.0,0.0,302,122,0,0
new_patient,0.7,8,424,0.7122641509433962,0.0,0.0,0.0,302,122,0,0
new_patient,0.8,1,424,0.6981132075471698,0.0,0.0,0.0,296,128,0,0
new_patient,0.8,2,424,0.7193396226415094,0.0,0.0,0.0,305,119,0,0
new_patient,0.8,3,424,0.7287735849056604,0.0,0.0,0.0,309,115,0,0
new_patient,0.8,4,424,0.7358490566037735,0.0,0.0,0.0,312,112,0,0
new_patient,0.8,5,424,0.7452830188679245,0.0,0.0,0.0,316,108,0,0
new_patient,0.8,6,424,0.7452830188679245,0.0,0.0,0.0,316,108,0,0
new_patient,0.8,7,424,0.7452830188679245,0.0,0.0,0.0,316,108,0,0
new_patient,0.8,8,424,0.7452830188679245,0.0,0.0,0.0,316,108,0,0
new_patient,0.9,1,424,0.7688679245283019,0.0,0.0,0.0,326,98,0,0
new_patient,0.9,2,424,0.7735849056603774,0.0,0.0,0.0,328,96,0,0
new_patient,0.9,3,424,0.7924528301886793,0.0,0.0,0.0,336,88,0,0
new_patient,0.9,4,424,0.7995283018867925,0.0,0.0,0.0,339,85,0,0
new_patient,0.9,5,424,0.7995283018867925,0.0,0.0,0.0,339,85,0,0
new_patient,0.9,6,424,0.7995283018867925,0.0,0.0,0.0,339,85,0,0
new_patient,0.9,7,424,0.8136792452830188,0.0,0.0,0.0,345,79,0,0
new_patient,0.9,8,424,0.8301886792452831,0.0,0.0,0.0,352,72,0,0
