threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.64,6,820,0.7890243902439025,0.0,0.0,0.0,0.8007425742574258,0.19925742574257427,647,161,12,0
0.64,7,820,0.8109756097560976,0.0,0.0,0.0,0.823019801980198,0.17698019801980197,665,143,12,0
0.64,8,820,0.8365853658536585,0.0,0.0,0.0,0.849009900990099,0.15099009900990099,686,122,12,0
0.65,1,820,0.6060975609756097,0.024464831804281346,0.6666666666666666,0.0471976401179941,0.6051980198019802,0.3948019801980198,489,319,4,8
0.65,2,820,0.6695121951219513,0.02909090909090909,0.6666666666666666,0.05574912891986063,0.6695544554455446,0.33044554455445546,541,267,4,8
0.65,3,820,0.7207317073170731,0.026200873362445413,0.5,0.04979253112033195,0.724009900990099,0.275990099009901,585,223,6,6
0.65,4,820,0.75,0.0,0.0,0.0,0.7611386138613861,0.23886138613861385,615,193,12,0
0.65,5,820,0.7841463414634147,0.0,0.0,0.0,0.7957920792079208,0.2042079207920792,643,165,12,0
0.65,6,820,0.8146341463414634,0.0,0.0,0.0,0.8267326732673267,0.17326732673267325,668,140,12,0
0.65,7,820,0.8439024390243902,0.0,0.0,0.0,0.8564356435643564,0.14356435643564355,692,116,12,0
0.65,8,820,0.8695121951219512,0.0,0.0,0.0,0.8824257425742574,0.11757425742574257,713,95,12,0
0.66,1,820,0.6365853658536585,0.023333333333333334,0.5833333333333334,0.04487179487179487,0.6373762376237624,0.3626237623762376,515,293,5,7
0.66,2,820,0.6963414634146341,0.020242914979757085,0.4166666666666667,0.03861003861003861,0.7004950495049505,0.2995049504950495,566,242,7,5
0.66,3,820,0.7573170731707317,0.015544041450777202,0.25,0.02926829268292683,0.7648514851485149,0.23514851485148514,618,190,9,3
0.66,4,820,0.7829268292682927,0.0,0.0,0.0,0.7945544554455446,0.20544554455445543,642,166,12,0
0.66,5,820,0.8121951219512196,0.0,0.0,0.0,0.8242574257425742,0.17574257425742573,666,142,12,0
0.66,6,820,0.8426829268292683,0.0,0.0,0.0,0.8551980198019802,0.1448019801980198,691,117,12,0
0.66,7,820,0.8646341463414634,0.0,0.0,0.0,0.8774752475247525,0.12252475247524752,709,99,12,0
0.66,8,820,0.8902439024390244,0.0,0.0,0.0,0.9034653465346535,0.09653465346534654,730,78,12,0
0.67,1,820,0.6707317073170732,0.018656716417910446,0.4166666666666667,0.03571428571428571,0.6745049504950495,0.3254950495049505,545,263,7,5
0.67,2,820,0.7378048780487805,0.018957345971563982,0.3333333333333333,0.03587443946188341,0.7438118811881188,0.2561881188118812,601,207,8,4
0.67,3,820,0.7890243902439025,0.0,0.0,0.0,0.8007425742574258,0.19925742574257427,647,161,12,0
0.67,4,820,0.8329268292682926,0.0,0.0,0.0,0.8452970297029703,0.1547029702970297,683,125,12,0
0.67,5,820,0.8524390243902439,0.0,0.0,0.0,0.8650990099009901,0.1349009900990099,699,109,12,0
0.67,6,820,0.8768292682926829,0.0,0.0,0.0,0.8898514851485149,0.11014851485148515,719,89,12,0
0.67,7,820,0.8914634146341464,0.0,0.0,0.0,0.9047029702970297,0.0952970297029703,731,77,12,0
0.67,8,820,0.9170731707317074,0.0,0.0,0.0,0.9306930693069307,0.06930693069306931,752,56,12,0
