threshold,accuracy,precision_walking,recall_walking,f1_walking,f1_macro,false_positive_rate,false_negative_rate,tp,tn,fp,fn
0.22,0.7511862396204033,0.6808163265306122,0.9669565217391304,0.7990419161676646,0.7362278479242371,0.474802671523983,0.03304347826086956,1668,865,782,57
0.23,0.7526690391459074,0.6829568788501027,0.9640579710144928,0.7995192307692308,0.7383819064062873,0.46873102610807527,0.035942028985507246,1663,875,772,62
0.24,0.75355871886121,0.6844059405940595,0.9617391304347827,0.7997107736804049,0.7397397799037863,0.4644808743169399,0.03826086956521739,1659,882,765,66
0.25,0.7547449584816133,0.6859983429991715,0.96,0.8001932834017879,0.7413634363266137,0.4602307225258045,0.04,1656,889,758,69
0.26,0.7562277580071174,0.6875778977980889,0.9594202898550724,0.8010648596321394,0.743181740688964,0.45658773527625984,0.04057971014492753,1655,895,752,70
0.27,0.7574139976275207,0.689037098791163,0.9582608695652174,0.8016488845780795,0.7447175720600321,0.45294474802671525,0.04173913043478261,1653,901,746,72
0.28,0.7583036773428232,0.6903765690376569,0.9565217391304348,0.8019441069258809,0.745970151599114,0.4493017607771706,0.043478260869565216,1650,907,740,75
0.29,0.7597864768683275,0.6921461570768584,0.9553623188405798,0.8027277155382367,0.7478384597403087,0.44505160898603524,0.04463768115942029,1648,914,733,77
0.3,0.7574139976275207,0.6917547568710359,0.9484057971014492,0.8,0.7458929917106255,0.4426229508196721,0.051594202898550726,1636,918,729,89
0.31,0.7544483985765125,0.6910950149126545,0.9402898550724638,0.7966601178781926,0.7433899391786172,0.44019429265330906,0.059710144927536235,1622,922,725,103
0.32,0.751779359430605,0.6905579399141631,0.9327536231884058,0.7935881627620222,0.7411600166729412,0.43776563448694594,0.0672463768115942,1609,926,721,116
0.33,0.748220640569395,0.6896103896103896,0.9234782608695652,0.7895910780669145,0.7380956497754285,0.4353369763205829,0.07652173913043478,1593,930,717,132
0.34,0.7476275207591934,0.69,0.92,0.7885714285714286,0.7377943571691273,0.4329083181542198,0.08,1587,934,713,138
