threshold,accuracy,precision_walking,recall_walking,f1_walking,f1_macro,false_positive_rate,false_negative_rate,tp,tn,fp,fn
0.55,0.7346876895087933,0.7109496626881162,0.8116113744075829,0.7579529737206085,0.732213655595628,0.34596273291925467,0.18838862559241706,1370,1053,557,318
0.56,0.7331716191631291,0.7121848739495799,0.8033175355450237,0.755011135857461,0.7310341964240701,0.3403726708074534,0.1966824644549763,1356,1062,548,332
0.57,0.7322619769557307,0.7133015368309485,0.79739336492891,0.753006993006993,0.7303598354641057,0.3360248447204969,0.20260663507109006,1346,1069,541,342
0.58,0.730139478471801,0.7131410256410257,0.7908767772511849,0.75,0.7284255599472991,0.33354037267080744,0.20912322274881517,1335,1073,537,353
0.59,0.728623408126137,0.7142085359265262,0.783175355450237,0.7471037016106244,0.7271665056957277,0.32857142857142857,0.21682464454976302,1322,1081,529,366
0.6,0.7274105518496058,0.7152209492635024,0.7766587677725119,0.7446748082930985,0.7261585423579313,0.3242236024844721,0.22334123222748814,1311,1088,522,377
0.61,0.7258944815039418,0.7170542635658915,0.7671800947867299,0.7412707498568976,0.7249229313436647,0.3173913043478261,0.23281990521327015,1295,1099,511,393
0.62,0.7252880533656761,0.719170403587444,0.7600710900473934,0.7390552995391705,0.7245212477209297,0.3111801242236025,0.23992890995260663,1283,1109,501,405
0.63,0.7258944815039418,0.7217194570135747,0.7559241706161137,0.7384259259259259,0.7252639183769757,0.30559006211180123,0.24407582938388625,1276,1118,492,412
0.64,0.725591267434809,0.7240984544934173,0.7494075829383886,0.7365356622998545,0.7251169295365137,0.2993788819875776,0.2505924170616114,1265,1128,482,423
0.65,0.7234687689508793,0.7253193960511034,0.7399289099526066,0.7325513196480938,0.7231494827995648,0.2937888198757764,0.26007109004739337,1249,1137,473,439
0.66,0.7222559126743481,0.7281323877068558,0.7298578199052133,0.7289940828402367,0.7220841060967353,0.2857142857142857,0.27014218009478674,1232,1150,460,456
0.67,0.7219526986052153,0.7318099819603127,0.7209715639810427,0.72635034318114,0.7218808726691525,0.27701863354037265,0.2790284360189573,1217,1164,446,471
0.68,0.7243784111582777,0.7373552711761121,0.716824644549763,0.7269450285370982,0.7243540569682736,0.2677018633540373,0.283175355450237,1210,1179,431,478
0.69,0.7258944815039418,0.7413793103448276,0.7132701421800948,0.7270531400966184,0.7258895420336928,0.2608695652173913,0.28672985781990523,1204,1190,420,484
0.7,0.7289266221952698,0.7509481668773704,0.7037914691943128,0.726605504587156,0.7289070818185329,0.24472049689440994,0.2962085308056872,1188,1216,394,500
0.71,0.7328684050939963,0.7621832358674464,0.6949052132701422,0.7269910133250698,0.7327445419845888,0.22732919254658385,0.30509478672985785,1173,1244,366,515
0.72,0.730139478471801,0.7685060565275909,0.6765402843601895,0.7195967233774417,0.7297574499412047,0.21366459627329193,0.3234597156398104,1142,1266,344,546
0.73,0.7268041237113402,0.7738343771746694,0.6587677725118484,0.71168,0.7260503140305388,0.20186335403726707,0.3412322274881517,1112,1285,325,576
0.74,0.7249848392965433,0.7791279485346676,0.6457345971563981,0.7061872367994817,0.7238545189412057,0.1919254658385093,0.3542654028436019,1090,1301,309,598
0.75,0.7268041237113402,0.7861818181818182,0.6404028436018957,0.7058439438459027,0.7254099424862119,0.1826086956521739,0.35959715639810425,1081,1316,294,607
0.76,0.7295330503335354,0.7943786982248521,0.6362559241706162,0.7065789473684211,0.7278676514119946,0.17267080745341615,0.3637440758293839,1074,1332,278,614
0.77,0.7325651910248635,0.8057663125948407,0.6291469194312796,0.7065868263473054,0.7304521875469118,0.15900621118012423,0.3708530805687204,1062,1354,256,626
0.78,0.7349909035779261,0.8169781931464174,0.6214454976303317,0.7059219380888291,0.7323759800819422,0.14596273291925466,0.37855450236966826,1049,1375,235,639
0.79,0.7422680412371134,0.8373590982286635,0.6161137440758294,0.7098976109215017,0.7390186363390924,0.12546583850931678,0.38388625592417064,1040,1408,202,648
0.8,0.7480291085506368,0.8579782790309106,0.6084123222748815,0.7119584055459273,0.7440147727002069,0.10559006211180125,0.3915876777251185,1027,1440,170,661
0.81,0.7546998180715585,0.8851884312007011,0.5983412322274881,0.7140332272887946,0.7496367357574847,0.08136645962732919,0.40165876777251186,1010,1479,131,678
0.82,0.7595512431776834,0.9079307201458523,0.590047393364929,0.7152603231597846,0.7535892274418707,0.06273291925465839,0.4099526066350711,996,1509,101,692
0.83,0.7580351728320194,0.9198113207547169,0.57760663507109,0.7096069868995634,0.751113264759553,0.052795031055900624,0.42239336492890994,975,1525,85,713
0.84,0.7580351728320194,0.9337231968810916,0.5675355450236966,0.7059690493736183,0.7502024535894367,0.0422360248447205,0.4324644549763033,958,1542,68,730
0.85,0.7619769557307459,0.9565217391304348,0.5604265402843602,0.7067612999626448,0.7532275497006385,0.02670807453416149,0.4395734597156398,946,1567,43,742
0.86,0.7565191024863553,0.9604578563995838,0.5468009478672986,0.6968667421668554,0.7467105436195312,0.02360248447204969,0.4531990521327014,923,1572,38,765
0.87,0.7501516070345664,0.9635193133047211,0.5319905213270142,0.6854961832061068,0.7391263612207597,0.02111801242236025,0.46800947867298576,898,1576,34,790
0.88,0.7459066100667071,0.9639737991266376,0.5231042654028436,0.6781874039938556,0.7341337821572484,0.020496894409937887,0.4768957345971564,883,1577,33,805
0.89,0.7462098241358399,0.9775533108866442,0.5159952606635071,0.6754556029468787,0.7335455759319904,0.012422360248447204,0.4840047393364929,871,1590,20,817
0.9,0.7449969678593087,0.9976498237367802,0.5029620853080569,0.6687672311933832,0.7307355998214883,0.0012422360248447205,0.49703791469194314,849,1608,2,839
0.91,0.7383262583383869,0.9975874547647768,0.48992890995260663,0.6571315057608264,0.7227800210834041,0.0012422360248447205,0.5100710900473934,827,1608,2,861
0.92,0.7319587628865979,0.9975247524752475,0.4774881516587678,0.6458333333333334,0.7151117886178862,0.0012422360248447205,0.5225118483412322,806,1608,2,882
0.93,0.7243784111582777,1.0,0.46149289099526064,0.6315362788812323,0.7056930607290637,0.0,0.5385071090047393,779,1610,0,909
0.94,0.7152819890842935,1.0,0.4437203791469194,0.6146901928600739,0.6944573830373945,0.0,0.5562796208530806,749,1610,0,939
0.95,0.698605215281989,1.0,0.41113744075829384,0.5827036104114189,0.6734116058701614,0.0,0.5888625592417062,694,1610,0,994
