threshold,accuracy,precision_walking,recall_walking,f1_walking,f1_macro,false_positive_rate,false_negative_rate,tp,tn,fp,fn
0.37,0.49503722084367247,0.3308248043347381,0.6371014492753623,0.435506241331484,0.48935805893734696,0.5675261679857033,0.36289855072463767,1099,1694,2223,626
0.38,0.500177242112726,0.3327222731439047,0.6313043478260869,0.43577430972388953,0.4935791688613084,0.5575695685473576,0.36869565217391304,1089,1733,2184,636
0.39,0.5076214108472173,0.33654144675566594,0.6284057971014493,0.438334007278609,0.5000126962868274,0.5455705897370436,0.3715942028985507,1084,1780,2137,641
0.4,0.5148883374689827,0.34007585335018964,0.623768115942029,0.44017181427694824,0.5060905983034467,0.5330610160837376,0.37623188405797103,1076,1829,2088,649
0.41,0.5193193902871323,0.34208,0.6197101449275362,0.44082474226804125,0.5096570089953821,0.5248914985958641,0.38028985507246377,1069,1861,2056,656
0.42,0.5239276852180078,0.34404414151249596,0.6144927536231884,0.44111527257594674,0.5132405631172416,0.5159560888435026,0.3855072463768116,1060,1896,2021,665
0.43,0.5297766749379652,0.34706657877389585,0.6104347826086957,0.4425299432653919,0.5179699524756078,0.5057441919836609,0.38956521739130434,1053,1936,1981,672
0.44,0.5352711804324708,0.34944612286002014,0.6034782608695652,0.44260204081632654,0.5220608988276162,0.4947664028593311,0.39652173913043476,1041,1979,1938,684
0.45,0.542892591279688,0.3536668951336532,0.5982608695652174,0.4445401679948309,0.5280975196245801,0.4814909369415369,0.4017391304347826,1032,2031,1886,693
0.46,0.5499822757887274,0.3570926966292135,0.5895652173913043,0.4447846052919309,0.533225263456575,0.4674495787592545,0.41043478260869565,1017,2086,1831,708
0.47,0.5563629918468628,0.3602729885057471,0.5814492753623188,0.4448880017742293,0.5377207536546423,0.4546847076844524,0.41855072463768117,1003,2136,1781,722
0.48,0.5639844026940801,0.3648400147112909,0.5750724637681159,0.4464446444644464,0.5433977608287144,0.4408986469236661,0.42492753623188406,992,2190,1727,733
0.49,0.5708968450903935,0.36927122464312545,0.5698550724637681,0.4481422384317301,0.5485600274368307,0.428644370691856,0.4301449275362319,983,2238,1679,742
0.5,0.5771003190358029,0.3728357060407849,0.5617391304347826,0.44819611470860315,0.5526900113772901,0.4161347970385499,0.43826086956521737,969,2287,1630,756
0.51,0.5829493087557603,0.37628053585500393,0.553623188405797,0.4480412854797091,0.5564519203356386,0.4041358182282359,0.4463768115942029,955,2334,1583,770
