scenario,model,fold,dataset_source,test_rows,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
corrected,catboost,3,auto_influx_heuristic,2622,1617,1005,0.914187643020595,0.9079497907949792,0.863681592039801,0.8852626211116777,0.912858448818858,0.904629911666159,0.9083638722372278
corrected,catboost,3,previous_dataset,6338,3035,3303,0.4922688545282423,0.5172553796183516,0.3857099606418407,0.4419007977800901,0.4968212381962725,0.4969735964658957,0.4880994582243432
corrected_no_transition,random_forest,1,previous_dataset,2325,1304,1021,0.6580645161290323,0.6021699819168174,0.6523016650342801,0.6262341325811002,0.6554738342726006,0.6574391760754222,0.6555665312132611
corrected_no_transition,random_forest,1,auto_influx_heuristic,3210,1936,1274,0.8943925233644859,0.944814462416746,0.7794348508634223,0.8541935483870968,0.9073308069378774,0.874738086588736,0.8857048328016071
corrected_no_transition,random_forest,2,previous_dataset,2895,1798,1097,0.6659758203799655,0.5315533980582524,0.9981768459434822,0.6936965473550839,0.7645790942387071,0.7307346966091159,0.6632174343307893
corrected_no_transition,random_forest,2,auto_influx_heuristic,3266,1939,1327,0.8612982241273729,0.7956698240866035,0.8862094951017332,0.8385026737967914,0.855608961260304,0.8652295541522075,0.858478597429654
corrected_no_transition,random_forest,3,auto_influx_heuristic,2584,1598,986,0.9187306501547988,0.8975409836065574,0.8884381338742393,0.8929663608562691,0.9145665117037762,0.9129299555478833,0.9137320887250776
corrected_no_transition,random_forest,3,previous_dataset,6099,2907,3192,0.4881128053779308,0.5146443514644351,0.3853383458646616,0.4407022572554639,0.4928303989729832,0.4931507690795616,0.4844079605503438
corrected_no_transition,xgboost,1,previous_dataset,2325,1304,1021,0.6778494623655914,0.6263940520446096,0.6601371204701273,0.642823080591321,0.6742858971191823,0.6759274559405851,0.6747213718663616
corrected_no_transition,xgboost,1,auto_influx_heuristic,3210,1936,1274,0.8890965732087227,0.943050193050193,0.7668759811616954,0.8458874458874459,0.9032178288158048,0.8682003872750625,0.879634720510633
corrected_no_transition,xgboost,2,previous_dataset,2895,1798,1097,0.6659758203799655,0.5318003913894325,0.9908842297174112,0.6921362623368355,0.7600247550366669,0.729313082600641,0.6635464248641519
corrected_no_transition,xgboost,2,auto_influx_heuristic,3266,1939,1327,0.846601347213717,0.7832647462277091,0.8605877920120573,0.8201077199281868,0.8404708686890758,0.8488085943041204,0.8432003771778644
corrected_no_transition,xgboost,3,auto_influx_heuristic,2584,1598,986,0.9090557275541796,0.91218441273326,0.8427991886409736,0.8761201897733263,0.9097682374485188,0.8963683052090976,0.9021383584146364
corrected_no_transition,xgboost,3,previous_dataset,6099,2907,3192,0.4890965732087227,0.5152121697357886,0.4031954887218045,0.4523725834797891,0.49309622649522,0.4933074106835716,0.4867886273268644
corrected_no_transition,catboost,1,previous_dataset,2325,1304,1021,0.6825806451612904,0.6346336822074216,0.653281096963761,0.6438223938223938,0.6783843450283575,0.6794012846781996,0.6787769843433149
corrected_no_transition,catboost,1,auto_influx_heuristic,3210,1936,1274,0.8847352024922118,0.9493041749502982,0.749607535321821,0.8377192982456141,0.9022836664225176,0.8616322800576047,0.8741736587846428
corrected_no_transition,catboost,2,previous_dataset,2895,1798,1097,0.6732297063903282,0.537357743691242,0.9899726526891522,0.6966003848620911,0.7623859656671312,0.7349752028740533,0.6712792343472131
corrected_no_transition,catboost,2,auto_influx_heuristic,3266,1939,1327,0.8505817513778322,0.7923344947735191,0.8568198944988696,0.8233164373642288,0.8442830311115002,0.8515662133659898,0.8469367332709739
corrected_no_transition,catboost,3,auto_influx_heuristic,2584,1598,986,0.9136996904024768,0.9071504802561366,0.8620689655172413,0.8840353614144566,0.912288051299896,0.9038129558499848,0.9076571260076906
