threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.55,5,1205,0.6033195020746888,0.5008726003490401,0.5991649269311065,0.5456273764258555,0.6060606060606061,0.3939393939393939,440,286,192,287
0.55,6,1205,0.6033195020746888,0.50093808630394,0.55741127348643,0.5276679841897233,0.6336088154269972,0.36639118457300274,460,266,212,267
0.55,7,1205,0.5983402489626556,0.4952561669829222,0.5448851774530271,0.5188866799204771,0.6336088154269972,0.36639118457300274,460,266,218,261
0.55,8,1205,0.604149377593361,0.5019230769230769,0.5448851774530271,0.5225225225225225,0.6432506887052342,0.35674931129476584,467,259,218,261
0.55,9,1205,0.5975103734439834,0.494140625,0.5281837160751566,0.5105953582240161,0.6432506887052342,0.35674931129476584,467,259,226,253
0.55,10,1205,0.6049792531120332,0.5029821073558648,0.5281837160751566,0.515274949083503,0.6556473829201102,0.3443526170798898,476,250,226,253
0.56,1,1205,0.5966804979253112,0.4944,0.6450939457202505,0.5597826086956522,0.5647382920110193,0.43526170798898073,410,316,170,309
0.56,2,1205,0.5966804979253112,0.49421487603305786,0.6242171189979123,0.551660516605166,0.5785123966942148,0.4214876033057851,420,306,180,299
0.56,3,1205,0.5950207468879668,0.4922813036020583,0.5991649269311065,0.5404896421845574,0.5922865013774105,0.40771349862258954,430,296,192,287
0.56,4,1205,0.5950207468879668,0.4921190893169877,0.5866388308977035,0.5352380952380953,0.6005509641873278,0.39944903581267216,436,290,198,281
0.56,5,1205,0.5983402489626556,0.49559082892416223,0.5866388308977035,0.5372848948374761,0.6060606060606061,0.3939393939393939,440,286,198,281
0.56,6,1205,0.5941908713692946,0.4904214559386973,0.534446764091858,0.5114885114885115,0.6336088154269972,0.36639118457300274,460,266,223,256
0.56,7,1205,0.5892116182572614,0.4844961240310077,0.5219206680584552,0.5025125628140703,0.6336088154269972,0.36639118457300274,460,266,229,250
0.56,8,1205,0.5892116182572614,0.48406374501992033,0.5073068893528184,0.4954128440366973,0.6432506887052342,0.35674931129476584,467,259,236,243
0.56,9,1205,0.5892116182572614,0.48406374501992033,0.5073068893528184,0.4954128440366973,0.6432506887052342,0.35674931129476584,467,259,236,243
0.56,10,1205,0.5966804979253112,0.49290060851926976,0.5073068893528184,0.5,0.6556473829201102,0.3443526170798898,476,250,236,243
0.57,1,1205,0.591701244813278,0.48936170212765956,0.6242171189979123,0.5486238532110091,0.5702479338842975,0.4297520661157025,414,312,180,299
0.57,2,1205,0.591701244813278,0.48896434634974534,0.6012526096033403,0.5393258426966292,0.5853994490358126,0.41460055096418735,425,301,191,288
0.57,3,1205,0.5950207468879668,0.49214659685863876,0.5887265135699373,0.5361216730038023,0.5991735537190083,0.40082644628099173,435,291,197,282
0.57,4,1205,0.5975103734439834,0.4946808510638298,0.5824634655532359,0.5349952061361457,0.6074380165289256,0.3925619834710744,441,285,200,279
0.57,5,1205,0.5975103734439834,0.4946808510638298,0.5824634655532359,0.5349952061361457,0.6074380165289256,0.3925619834710744,441,285,200,279
0.57,6,1205,0.5933609958506224,0.48940269749518306,0.5302713987473904,0.5090180360721442,0.6349862258953168,0.3650137741046832,461,265,225,254
0.57,7,1205,0.5883817427385892,0.4834307992202729,0.5177453027139874,0.5,0.6349862258953168,0.3650137741046832,461,265,231,248
0.57,8,1205,0.5883817427385892,0.48296593186372744,0.5031315240083507,0.49284253578732107,0.6446280991735537,0.35537190082644626,468,258,238,241
0.57,9,1205,0.5883817427385892,0.48296593186372744,0.5031315240083507,0.49284253578732107,0.6446280991735537,0.35537190082644626,468,258,238,241
0.57,10,1205,0.595850622406639,0.49183673469387756,0.5031315240083507,0.49742002063983487,0.6570247933884298,0.34297520661157027,477,249,238,241
0.58,1,1205,0.5883817427385892,0.4859038142620232,0.6116910229645094,0.5415896487985212,0.5730027548209367,0.42699724517906334,416,310,186,293
0.58,2,1205,0.5883817427385892,0.48547008547008547,0.592901878914405,0.5338345864661654,0.5853994490358126,0.41460055096418735,425,301,195,284
0.58,3,1205,0.591701244813278,0.48857644991212656,0.5803757828810021,0.5305343511450382,0.5991735537190083,0.40082644628099173,435,291,201,278
0.58,4,1205,0.5941908713692946,0.49107142857142855,0.5741127348643006,0.5293551491819056,0.6074380165289256,0.3925619834710744,441,285,204,275
0.58,5,1205,0.587551867219917,0.483695652173913,0.55741127348643,0.5179437439379243,0.6074380165289256,0.3925619834710744,441,285,212,267
0.58,6,1205,0.583402489626556,0.47731755424063116,0.5052192066805845,0.4908722109533469,0.6349862258953168,0.3650137741046832,461,265,237,242
0.58,7,1205,0.5784232365145229,0.47105788423153694,0.49269311064718163,0.4816326530612245,0.6349862258953168,0.3650137741046832,461,265,243,236
0.58,8,1205,0.5784232365145229,0.4702258726899384,0.4780793319415449,0.474120082815735,0.6446280991735537,0.35537190082644626,468,258,250,229
0.58,9,1205,0.5784232365145229,0.4702258726899384,0.4780793319415449,0.474120082815735,0.6446280991735537,0.35537190082644626,468,258,250,229
