enter_threshold,exit_threshold,enter_run_windows,exit_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp,scope,segments
0.65,0.6,2,3,388,0.42010309278350516,0.05063291139240506,1.0,0.0963855421686747,0.4015957446808511,0.598404255319149,151,225,0,12,same_patient,4
0.65,0.6,2,4,388,0.41237113402061853,0.05,1.0,0.09523809523809523,0.39361702127659576,0.6063829787234043,148,228,0,12,same_patient,4
0.65,0.6,2,5,388,0.41237113402061853,0.05,1.0,0.09523809523809523,0.39361702127659576,0.6063829787234043,148,228,0,12,same_patient,4
0.65,0.6,3,1,388,0.6005154639175257,0.055900621118012424,0.75,0.10404624277456648,0.5957446808510638,0.40425531914893614,224,152,3,9,same_patient,4
0.65,0.6,3,2,388,0.48195876288659795,0.04784688995215311,0.8333333333333334,0.09049773755656108,0.47074468085106386,0.5292553191489362,177,199,2,10,same_patient,4
0.65,0.6,3,3,388,0.45103092783505155,0.05333333333333334,1.0,0.10126582278481013,0.43351063829787234,0.5664893617021277,163,213,0,12,same_patient,4
0.65,0.6,3,4,388,0.44329896907216493,0.05263157894736842,1.0,0.1,0.425531914893617,0.574468085106383,160,216,0,12,same_patient,4
0.65,0.6,3,5,388,0.44329896907216493,0.05263157894736842,1.0,0.1,0.425531914893617,0.574468085106383,160,216,0,12,same_patient,4
0.65,0.6,4,1,388,0.6211340206185567,0.0,0.0,0.0,0.6409574468085106,0.35904255319148937,241,135,12,0,same_patient,4
0.65,0.6,4,2,388,0.45618556701030927,0.0,0.0,0.0,0.47074468085106386,0.5292553191489362,177,199,12,0,same_patient,4
0.65,0.6,4,3,388,0.4329896907216495,0.0,0.0,0.0,0.44680851063829785,0.5531914893617021,168,208,12,0,same_patient,4
0.65,0.6,4,4,388,0.4252577319587629,0.0,0.0,0.0,0.43882978723404253,0.5611702127659575,165,211,12,0,same_patient,4
0.65,0.6,4,5,388,0.4252577319587629,0.0,0.0,0.0,0.43882978723404253,0.5611702127659575,165,211,12,0,same_patient,4
0.65,0.65,1,1,388,0.5773195876288659,0.047619047619047616,0.6666666666666666,0.08888888888888889,0.574468085106383,0.425531914893617,216,160,4,8,same_patient,4
0.65,0.65,1,2,388,0.5128865979381443,0.050761421319796954,0.8333333333333334,0.09569377990430622,0.5026595744680851,0.4973404255319149,189,187,2,10,same_patient,4
0.65,0.65,1,3,388,0.45618556701030927,0.045662100456621,0.8333333333333334,0.08658008658008658,0.4441489361702128,0.5558510638297872,167,209,2,10,same_patient,4
0.65,0.65,1,4,388,0.4097938144329897,0.04219409282700422,0.8333333333333334,0.08032128514056225,0.3962765957446808,0.6037234042553191,149,227,2,10,same_patient,4
