transformer_threshold,rf_threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
0.6,0.65,2,424,0.714622641509434,0.0,0.0,0.0,303,121,0,0
0.6,0.65,3,424,0.7665094339622641,0.0,0.0,0.0,325,99,0,0
0.6,0.65,4,424,0.7948113207547169,0.0,0.0,0.0,337,87,0,0
0.6,0.65,5,424,0.8136792452830188,0.0,0.0,0.0,345,79,0,0
0.6,0.65,8,424,0.9174528301886793,0.0,0.0,0.0,389,35,0,0
0.6,0.65,10,424,0.9386792452830188,0.0,0.0,0.0,398,26,0,0
0.6,0.7,1,424,0.8679245283018868,0.0,0.0,0.0,368,56,0,0
0.6,0.7,2,424,0.9198113207547169,0.0,0.0,0.0,390,34,0,0
0.6,0.7,3,424,0.9669811320754716,0.0,0.0,0.0,410,14,0,0
0.6,0.7,4,424,0.9811320754716981,0.0,0.0,0.0,416,8,0,0
0.6,0.7,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.7,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.7,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.75,1,424,0.9976415094339622,0.0,0.0,0.0,423,1,0,0
0.6,0.75,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.75,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.75,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.75,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.75,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.75,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.8,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.8,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.8,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.8,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.8,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.8,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.8,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.85,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.85,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.85,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.85,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.85,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.85,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.85,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.9,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.9,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.9,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.9,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.9,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.9,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.6,0.9,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.5,1,424,0.45047169811320753,0.0,0.0,0.0,191,233,0,0
0.65,0.5,2,424,0.46226415094339623,0.0,0.0,0.0,196,228,0,0
0.65,0.5,3,424,0.4716981132075472,0.0,0.0,0.0,200,224,0,0
0.65,0.5,4,424,0.47877358490566035,0.0,0.0,0.0,203,221,0,0
0.65,0.5,5,424,0.4882075471698113,0.0,0.0,0.0,207,217,0,0
0.65,0.5,8,424,0.5495283018867925,0.0,0.0,0.0,233,191,0,0
0.65,0.5,10,424,0.5683962264150944,0.0,0.0,0.0,241,183,0,0
0.65,0.6,1,424,0.5636792452830188,0.0,0.0,0.0,239,185,0,0
0.65,0.6,2,424,0.5990566037735849,0.0,0.0,0.0,254,170,0,0
0.65,0.6,3,424,0.6509433962264151,0.0,0.0,0.0,276,148,0,0
0.65,0.6,4,424,0.6580188679245284,0.0,0.0,0.0,279,145,0,0
0.65,0.6,5,424,0.714622641509434,0.0,0.0,0.0,303,121,0,0
0.65,0.6,8,424,0.8160377358490566,0.0,0.0,0.0,346,78,0,0
0.65,0.6,10,424,0.8349056603773585,0.0,0.0,0.0,354,70,0,0
0.65,0.65,1,424,0.6721698113207547,0.0,0.0,0.0,285,139,0,0
0.65,0.65,2,424,0.7169811320754716,0.0,0.0,0.0,304,120,0,0
0.65,0.65,3,424,0.7688679245283019,0.0,0.0,0.0,326,98,0,0
0.65,0.65,4,424,0.7971698113207547,0.0,0.0,0.0,338,86,0,0
0.65,0.65,5,424,0.8254716981132075,0.0,0.0,0.0,350,74,0,0
0.65,0.65,8,424,0.9174528301886793,0.0,0.0,0.0,389,35,0,0
0.65,0.65,10,424,0.9386792452830188,0.0,0.0,0.0,398,26,0,0
0.65,0.7,1,424,0.8702830188679245,0.0,0.0,0.0,369,55,0,0
0.65,0.7,2,424,0.9245283018867925,0.0,0.0,0.0,392,32,0,0
0.65,0.7,3,424,0.9669811320754716,0.0,0.0,0.0,410,14,0,0
0.65,0.7,4,424,0.9811320754716981,0.0,0.0,0.0,416,8,0,0
0.65,0.7,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.7,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.7,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.75,1,424,0.9976415094339622,0.0,0.0,0.0,423,1,0,0
0.65,0.75,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.75,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.75,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.75,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.75,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.75,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.8,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.8,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.8,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.8,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.8,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.8,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.8,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.85,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.85,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.85,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.85,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.85,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.85,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.85,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.9,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.9,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.9,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.9,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.9,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.9,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.65,0.9,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.5,1,424,0.45754716981132076,0.0,0.0,0.0,194,230,0,0
0.7,0.5,2,424,0.4740566037735849,0.0,0.0,0.0,201,223,0,0
0.7,0.5,3,424,0.47877358490566035,0.0,0.0,0.0,203,221,0,0
0.7,0.5,4,424,0.49292452830188677,0.0,0.0,0.0,209,215,0,0
0.7,0.5,5,424,0.5023584905660378,0.0,0.0,0.0,213,211,0,0
0.7,0.5,8,424,0.5495283018867925,0.0,0.0,0.0,233,191,0,0
0.7,0.5,10,424,0.5683962264150944,0.0,0.0,0.0,241,183,0,0
0.7,0.6,1,424,0.5683962264150944,0.0,0.0,0.0,241,183,0,0
0.7,0.6,2,424,0.6084905660377359,0.0,0.0,0.0,258,166,0,0
0.7,0.6,3,424,0.660377358490566,0.0,0.0,0.0,280,144,0,0
0.7,0.6,4,424,0.6674528301886793,0.0,0.0,0.0,283,141,0,0
0.7,0.6,5,424,0.714622641509434,0.0,0.0,0.0,303,121,0,0
0.7,0.6,8,424,0.8160377358490566,0.0,0.0,0.0,346,78,0,0
0.7,0.6,10,424,0.8349056603773585,0.0,0.0,0.0,354,70,0,0
0.7,0.65,1,424,0.6768867924528302,0.0,0.0,0.0,287,137,0,0
0.7,0.65,2,424,0.7287735849056604,0.0,0.0,0.0,309,115,0,0
0.7,0.65,3,424,0.7759433962264151,0.0,0.0,0.0,329,95,0,0
0.7,0.65,4,424,0.7971698113207547,0.0,0.0,0.0,338,86,0,0
0.7,0.65,5,424,0.8254716981132075,0.0,0.0,0.0,350,74,0,0
0.7,0.65,8,424,0.9174528301886793,0.0,0.0,0.0,389,35,0,0
0.7,0.65,10,424,0.9386792452830188,0.0,0.0,0.0,398,26,0,0
0.7,0.7,1,424,0.875,0.0,0.0,0.0,371,53,0,0
0.7,0.7,2,424,0.9292452830188679,0.0,0.0,0.0,394,30,0,0
0.7,0.7,3,424,0.9669811320754716,0.0,0.0,0.0,410,14,0,0
0.7,0.7,4,424,0.9811320754716981,0.0,0.0,0.0,416,8,0,0
0.7,0.7,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.7,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.7,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.75,1,424,0.9976415094339622,0.0,0.0,0.0,423,1,0,0
0.7,0.75,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.75,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.75,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.75,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.75,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.75,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.8,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.8,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.8,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.8,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.8,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.8,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.8,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.85,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.85,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.85,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.85,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.85,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.85,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.85,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.9,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.9,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.9,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.9,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.9,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.9,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.7,0.9,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.5,1,424,0.45990566037735847,0.0,0.0,0.0,195,229,0,0
0.75,0.5,2,424,0.4740566037735849,0.0,0.0,0.0,201,223,0,0
0.75,0.5,3,424,0.47877358490566035,0.0,0.0,0.0,203,221,0,0
0.75,0.5,4,424,0.49292452830188677,0.0,0.0,0.0,209,215,0,0
0.75,0.5,5,424,0.5023584905660378,0.0,0.0,0.0,213,211,0,0
0.75,0.5,8,424,0.5495283018867925,0.0,0.0,0.0,233,191,0,0
0.75,0.5,10,424,0.5683962264150944,0.0,0.0,0.0,241,183,0,0
0.75,0.6,1,424,0.5707547169811321,0.0,0.0,0.0,242,182,0,0
0.75,0.6,2,424,0.6084905660377359,0.0,0.0,0.0,258,166,0,0
0.75,0.6,3,424,0.660377358490566,0.0,0.0,0.0,280,144,0,0
0.75,0.6,4,424,0.6674528301886793,0.0,0.0,0.0,283,141,0,0
0.75,0.6,5,424,0.714622641509434,0.0,0.0,0.0,303,121,0,0
0.75,0.6,8,424,0.8160377358490566,0.0,0.0,0.0,346,78,0,0
0.75,0.6,10,424,0.8349056603773585,0.0,0.0,0.0,354,70,0,0
0.75,0.65,1,424,0.6792452830188679,0.0,0.0,0.0,288,136,0,0
0.75,0.65,2,424,0.7287735849056604,0.0,0.0,0.0,309,115,0,0
0.75,0.65,3,424,0.7759433962264151,0.0,0.0,0.0,329,95,0,0
0.75,0.65,4,424,0.7971698113207547,0.0,0.0,0.0,338,86,0,0
0.75,0.65,5,424,0.8254716981132075,0.0,0.0,0.0,350,74,0,0
0.75,0.65,8,424,0.9174528301886793,0.0,0.0,0.0,389,35,0,0
0.75,0.65,10,424,0.9386792452830188,0.0,0.0,0.0,398,26,0,0
0.75,0.7,1,424,0.875,0.0,0.0,0.0,371,53,0,0
