scope,threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
same_patient,0.28,388,0.43556701030927836,0.05194805194805195,1.0,0.09876543209876543,157,219,0,12
same_patient,0.29,388,0.45618556701030927,0.053811659192825115,1.0,0.10212765957446808,165,211,0,12
same_patient,0.3,388,0.46649484536082475,0.0547945205479452,1.0,0.1038961038961039,169,207,0,12
same_patient,0.31,388,0.4793814432989691,0.056074766355140186,1.0,0.10619469026548672,174,202,0,12
same_patient,0.32,388,0.5051546391752577,0.058823529411764705,1.0,0.1111111111111111,184,192,0,12
same_patient,0.33,388,0.5180412371134021,0.06030150753768844,1.0,0.11374407582938388,189,187,0,12
same_patient,0.34,388,0.5257731958762887,0.05670103092783505,0.9166666666666666,0.10679611650485436,193,183,1,11
same_patient,0.35,388,0.538659793814433,0.0582010582010582,0.9166666666666666,0.10945273631840796,198,178,1,11
same_patient,0.36,388,0.5541237113402062,0.060109289617486336,0.9166666666666666,0.11282051282051282,204,172,1,11
same_patient,0.37,388,0.5618556701030928,0.056179775280898875,0.8333333333333334,0.10526315789473684,208,168,2,10
same_patient,0.38,388,0.5876288659793815,0.05952380952380952,0.8333333333333334,0.1111111111111111,218,158,2,10
same_patient,0.39,388,0.5979381443298969,0.06097560975609756,0.8333333333333334,0.11363636363636363,222,154,2,10
same_patient,0.4,388,0.6108247422680413,0.0457516339869281,0.5833333333333334,0.08484848484848485,230,146,5,7
same_patient,0.41,388,0.6237113402061856,0.0410958904109589,0.5,0.0759493670886076,236,140,6,6
same_patient,0.42,388,0.634020618556701,0.03571428571428571,0.4166666666666667,0.06578947368421052,241,135,7,5
same_patient,0.43,388,0.6520618556701031,0.03759398496240601,0.4166666666666667,0.06896551724137931,248,128,7,5
same_patient,0.44,388,0.6726804123711341,0.04,0.4166666666666667,0.072992700729927,256,120,7,5
same_patient,0.45,388,0.6907216494845361,0.0423728813559322,0.4166666666666667,0.07692307692307693,263,113,7,5
same_patient,0.46,388,0.7139175257731959,0.045871559633027525,0.4166666666666667,0.08264462809917356,272,104,7,5
same_patient,0.47,388,0.7268041237113402,0.0392156862745098,0.3333333333333333,0.07017543859649122,278,98,8,4
same_patient,0.48,388,0.7474226804123711,0.0425531914893617,0.3333333333333333,0.07547169811320754,286,90,8,4
same_patient,0.49,388,0.7603092783505154,0.0449438202247191,0.3333333333333333,0.07920792079207921,291,85,8,4
same_patient,0.5,388,0.770618556701031,0.047058823529411764,0.3333333333333333,0.08247422680412371,295,81,8,4
same_patient,0.51,388,0.7757731958762887,0.037037037037037035,0.25,0.06451612903225806,298,78,9,3
same_patient,0.52,388,0.788659793814433,0.02702702702702703,0.16666666666666666,0.046511627906976744,304,72,10,2
same_patient,0.53,388,0.8092783505154639,0.015625,0.08333333333333333,0.02631578947368421,313,63,11,1
same_patient,0.54,388,0.8195876288659794,0.016666666666666666,0.08333333333333333,0.027777777777777776,317,59,11,1
same_patient,0.55,388,0.8350515463917526,0.018518518518518517,0.08333333333333333,0.030303030303030304,323,53,11,1
same_patient,0.56,388,0.8427835051546392,0.0196078431372549,0.08333333333333333,0.031746031746031744,326,50,11,1
same_patient,0.57,388,0.8582474226804123,0.022222222222222223,0.08333333333333333,0.03508771929824561,332,44,11,1
same_patient,0.58,388,0.8737113402061856,0.02564102564102564,0.08333333333333333,0.0392156862745098,338,38,11,1
same_patient,0.59,388,0.884020618556701,0.02857142857142857,0.08333333333333333,0.0425531914893617,342,34,11,1
same_patient,0.6,388,0.8917525773195877,0.0,0.0,0.0,346,30,12,0
same_patient,0.61,388,0.9097938144329897,0.0,0.0,0.0,353,23,12,0
same_patient,0.62,388,0.9149484536082474,0.0,0.0,0.0,355,21,12,0
same_patient,0.63,388,0.9201030927835051,0.0,0.0,0.0,357,19,12,0
same_patient,0.64,388,0.9278350515463918,0.0,0.0,0.0,360,16,12,0
same_patient,0.65,388,0.9329896907216495,0.0,0.0,0.0,362,14,12,0
same_patient,0.66,388,0.9407216494845361,0.0,0.0,0.0,365,11,12,0
same_patient,0.67,388,0.9484536082474226,0.0,0.0,0.0,368,8,12,0
same_patient,0.68,388,0.9510309278350515,0.0,0.0,0.0,369,7,12,0
same_patient,0.69,388,0.9561855670103093,0.0,0.0,0.0,371,5,12,0
same_patient,0.7,388,0.9561855670103093,0.0,0.0,0.0,371,5,12,0
same_patient,0.71,388,0.9587628865979382,0.0,0.0,0.0,372,4,12,0
same_patient,0.72,388,0.9587628865979382,0.0,0.0,0.0,372,4,12,0
same_patient,0.73,388,0.9587628865979382,0.0,0.0,0.0,372,4,12,0
same_patient,0.74,388,0.9587628865979382,0.0,0.0,0.0,372,4,12,0
same_patient,0.75,388,0.961340206185567,0.0,0.0,0.0,373,3,12,0
same_patient,0.76,388,0.961340206185567,0.0,0.0,0.0,373,3,12,0
same_patient,0.77,388,0.961340206185567,0.0,0.0,0.0,373,3,12,0
same_patient,0.78,388,0.961340206185567,0.0,0.0,0.0,373,3,12,0
same_patient,0.79,388,0.9639175257731959,0.0,0.0,0.0,374,2,12,0
same_patient,0.8,388,0.9664948453608248,0.0,0.0,0.0,375,1,12,0
same_patient,0.81,388,0.9664948453608248,0.0,0.0,0.0,375,1,12,0
same_patient,0.82,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.83,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.84,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.85,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.86,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.87,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.88,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.89,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.9,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.91,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.92,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.93,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.94,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.95,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.96,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.97,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.98,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.99,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
