scope,threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
same_patient,0.35,8,388,0.7577319587628866,0.0,0.0,0.0,294,82,12,0
same_patient,0.4,1,388,0.6108247422680413,0.0457516339869281,0.5833333333333334,0.08484848484848485,230,146,5,7
same_patient,0.4,2,388,0.6597938144329897,0.045454545454545456,0.5,0.08333333333333333,250,126,6,6
same_patient,0.4,3,388,0.7061855670103093,0.0,0.0,0.0,274,102,12,0
same_patient,0.4,4,388,0.7448453608247423,0.0,0.0,0.0,289,87,12,0
same_patient,0.4,5,388,0.8067010309278351,0.0,0.0,0.0,313,63,12,0
same_patient,0.4,6,388,0.8324742268041238,0.0,0.0,0.0,323,53,12,0
same_patient,0.4,7,388,0.8788659793814433,0.0,0.0,0.0,341,35,12,0
same_patient,0.4,8,388,0.8969072164948454,0.0,0.0,0.0,348,28,12,0
same_patient,0.43,1,388,0.6520618556701031,0.03759398496240601,0.4166666666666667,0.06896551724137931,248,128,7,5
same_patient,0.43,2,388,0.7242268041237113,0.038834951456310676,0.3333333333333333,0.06956521739130435,277,99,8,4
same_patient,0.43,3,388,0.7912371134020618,0.0,0.0,0.0,307,69,12,0
same_patient,0.43,4,388,0.8221649484536082,0.0,0.0,0.0,319,57,12,0
same_patient,0.43,5,388,0.8634020618556701,0.0,0.0,0.0,335,41,12,0
same_patient,0.43,6,388,0.8634020618556701,0.0,0.0,0.0,335,41,12,0
same_patient,0.43,7,388,0.8788659793814433,0.0,0.0,0.0,341,35,12,0
same_patient,0.43,8,388,0.8969072164948454,0.0,0.0,0.0,348,28,12,0
same_patient,0.45,1,388,0.6907216494845361,0.0423728813559322,0.4166666666666667,0.07692307692307693,263,113,7,5
same_patient,0.45,2,388,0.75,0.043010752688172046,0.3333333333333333,0.0761904761904762,287,89,8,4
same_patient,0.45,3,388,0.8221649484536082,0.0,0.0,0.0,319,57,12,0
same_patient,0.45,4,388,0.8376288659793815,0.0,0.0,0.0,325,51,12,0
same_patient,0.45,5,388,0.8685567010309279,0.0,0.0,0.0,337,39,12,0
same_patient,0.45,6,388,0.8814432989690721,0.0,0.0,0.0,342,34,12,0
same_patient,0.45,7,388,0.8969072164948454,0.0,0.0,0.0,348,28,12,0
same_patient,0.45,8,388,0.8969072164948454,0.0,0.0,0.0,348,28,12,0
same_patient,0.5,1,388,0.770618556701031,0.047058823529411764,0.3333333333333333,0.08247422680412371,295,81,8,4
same_patient,0.5,2,388,0.8273195876288659,0.06349206349206349,0.3333333333333333,0.10666666666666667,317,59,8,4
same_patient,0.5,3,388,0.8788659793814433,0.0,0.0,0.0,341,35,12,0
same_patient,0.5,4,388,0.8865979381443299,0.0,0.0,0.0,344,32,12,0
same_patient,0.5,5,388,0.9072164948453608,0.0,0.0,0.0,352,24,12,0
same_patient,0.5,6,388,0.9072164948453608,0.0,0.0,0.0,352,24,12,0
same_patient,0.5,7,388,0.9226804123711341,0.0,0.0,0.0,358,18,12,0
same_patient,0.5,8,388,0.9226804123711341,0.0,0.0,0.0,358,18,12,0
same_patient,0.55,1,388,0.8350515463917526,0.018518518518518517,0.08333333333333333,0.030303030303030304,323,53,11,1
same_patient,0.55,2,388,0.884020618556701,0.0,0.0,0.0,343,33,12,0
same_patient,0.55,3,388,0.9252577319587629,0.0,0.0,0.0,359,17,12,0
same_patient,0.55,4,388,0.9407216494845361,0.0,0.0,0.0,365,11,12,0
same_patient,0.55,5,388,0.9510309278350515,0.0,0.0,0.0,369,7,12,0
same_patient,0.55,6,388,0.9510309278350515,0.0,0.0,0.0,369,7,12,0
same_patient,0.55,7,388,0.9510309278350515,0.0,0.0,0.0,369,7,12,0
same_patient,0.55,8,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.6,1,388,0.8917525773195877,0.0,0.0,0.0,346,30,12,0
same_patient,0.6,2,388,0.9278350515463918,0.0,0.0,0.0,360,16,12,0
same_patient,0.6,3,388,0.9484536082474226,0.0,0.0,0.0,368,8,12,0
same_patient,0.6,4,388,0.9484536082474226,0.0,0.0,0.0,368,8,12,0
same_patient,0.6,5,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.6,6,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.6,7,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.6,8,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.7,1,388,0.9561855670103093,0.0,0.0,0.0,371,5,12,0
same_patient,0.7,2,388,0.9639175257731959,0.0,0.0,0.0,374,2,12,0
same_patient,0.7,3,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.7,4,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.7,5,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.7,6,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.7,7,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.7,8,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.8,1,388,0.9664948453608248,0.0,0.0,0.0,375,1,12,0
same_patient,0.8,2,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.8,3,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.8,4,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.8,5,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.8,6,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.8,7,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.8,8,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.9,1,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.9,2,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.9,3,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.9,4,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.9,5,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.9,6,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.9,7,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
same_patient,0.9,8,388,0.9690721649484536,0.0,0.0,0.0,376,0,12,0
